sample_id,team_03,team_02,team_01,team_05,team_04,team_06,team_07,team_25,team_31,team_19,team_18,team_30,team_24,team_26,team_27,team_23,team_22,team_20,team_21,team_10,team_11,team_13,team_12,team_16,team_17,team_29,team_15,team_14,team_28,team_09,team_08,class
Aclacinomycin A & Cycloheximide,0.17777777777777778,0.09090909090909091,0.2696629213483146,0.38202247191011235,0.011111111111111112,0.875,0.5287356321839081,0.8111111111111111,0.9888888888888889,0.13793103448275862,0.9222222222222223,0.35555555555555557,0.9887640449438202,0.6309523809523809,0.8764044943820225,0.34444444444444444,0.48314606741573035,0.5168539325842697,0.25842696629213485,0.3333333333333333,0.05555555555555555,0.7303370786516854,0.0,0.4090909090909091,0.36666666666666664,0.7640449438202247,0.24705882352941178,0.2777777777777778,0.6511627906976745,0.26666666666666666,0.07777777777777778,0
Aclacinomycin A & Doxorubicin,0.08888888888888889,0.3409090909090909,0.30337078651685395,0.12359550561797752,0.3333333333333333,0.1590909090909091,0.7241379310344828,0.8222222222222222,0.4777777777777778,0.7931034482758621,0.6222222222222222,0.8333333333333334,0.9325842696629213,0.6071428571428571,0.11235955056179775,0.8222222222222222,0.011235955056179775,0.8651685393258427,0.550561797752809,0.6555555555555556,0.45555555555555555,0.797752808988764,0.6741573033707865,0.7045454545454546,0.5666666666666667,0.7078651685393258,0.8588235294117647,0.23333333333333334,0.8255813953488372,0.6333333333333333,0.12222222222222222,0
Aclacinomycin A & Etoposide,0.5444444444444444,0.11363636363636363,0.8426966292134831,0.24719101123595505,0.044444444444444446,0.19318181818181818,0.8045977011494253,0.9888888888888889,0.8111111111111111,0.5402298850574713,0.16666666666666666,0.4777777777777778,0.8876404494382022,0.9404761904761905,0.5955056179775281,0.9222222222222223,0.0,0.5955056179775281,0.5056179775280899,0.8888888888888888,0.3111111111111111,0.5056179775280899,0.6179775280898876,0.2840909090909091,0.2222222222222222,0.6966292134831461,0.8,0.06666666666666667,0.5232558139534884,0.0,0.16666666666666666,0
Aclacinomycin A & H-7,0.9888888888888889,0.5909090909090909,0.9887640449438202,0.6966292134831461,0.03333333333333333,0.3522727272727273,0.2988505747126437,0.7777777777777778,0.9666666666666667,0.022988505747126436,0.25555555555555554,0.23333333333333334,1.0,0.6666666666666666,0.5168539325842697,0.32222222222222224,0.24719101123595505,0.5393258426966292,0.8202247191011236,0.34444444444444444,0.011111111111111112,0.30337078651685395,0.34831460674157305,0.5681818181818182,0.6666666666666666,0.7415730337078652,0.3764705882352941,0.03333333333333333,0.6395348837209303,0.15555555555555556,0.17777777777777778,0
Aclacinomycin A & Mitomycin C,0.1,0.17045454545454544,0.6853932584269663,0.47191011235955055,0.05555555555555555,0.14772727272727273,0.7126436781609196,1.0,0.9111111111111111,0.7241379310344828,0.7666666666666667,0.17777777777777778,0.8651685393258427,0.8928571428571429,0.6067415730337079,0.8333333333333334,0.7078651685393258,0.8539325842696629,0.5617977528089888,0.6111111111111112,0.7,0.48314606741573035,0.19101123595505617,0.3409090909090909,0.6,0.8202247191011236,0.7764705882352941,0.2,0.5581395348837209,0.3888888888888889,0.08888888888888889,0
Aclacinomycin A & Monastrol,0.011111111111111112,0.10227272727272728,0.07865168539325842,0.4606741573033708,0.0,0.7386363636363636,0.5517241379310345,0.8444444444444444,1.0,0.5977011494252874,0.0,0.25555555555555554,0.898876404494382,0.6428571428571429,0.7528089887640449,0.3111111111111111,0.2696629213483146,0.7191011235955056,0.4943820224719101,0.25555555555555554,0.06666666666666667,0.5730337078651685,0.12359550561797752,0.03409090909090909,0.5444444444444444,0.8089887640449438,0.23529411764705882,0.05555555555555555,0.16279069767441862,0.4777777777777778,0.044444444444444446,0
Aclacinomycin A & Vincristine,0.4444444444444444,0.45454545454545453,0.2808988764044944,0.16853932584269662,0.3888888888888889,0.9204545454545454,0.8620689655172413,0.8777777777777778,0.4888888888888889,0.9080459770114943,0.6333333333333333,0.9333333333333333,0.8764044943820225,0.44047619047619047,0.42696629213483145,0.6444444444444445,0.9550561797752809,0.9775280898876404,0.5730337078651685,0.43333333333333335,0.5,0.7865168539325843,0.3258426966292135,0.26136363636363635,0.6111111111111112,0.7303370786516854,0.8941176470588236,0.07777777777777778,0.23255813953488372,0.7777777777777778,0.1111111111111111,0
Blebbistatin & Geldanamycin,0.37777777777777777,0.32954545454545453,0.8876404494382022,0.3258426966292135,0.6666666666666666,0.9886363636363636,0.16091954022988506,0.13333333333333333,0.43333333333333335,0.5632183908045977,0.8777777777777778,0.8,0.6966292134831461,0.7976190476190477,0.6853932584269663,0.8444444444444444,0.3258426966292135,0.8202247191011236,0.8651685393258427,0.5444444444444444,0.7777777777777778,0.651685393258427,0.5955056179775281,0.48863636363636365,0.9444444444444444,0.9101123595505618,0.5294117647058824,0.1111111111111111,0.8953488372093024,0.9,0.6444444444444445,0
Blebbistatin & H-7,0.8666666666666667,0.6818181818181818,0.797752808988764,0.6179775280898876,0.18888888888888888,0.32954545454545453,0.21839080459770116,0.5777777777777777,0.3,0.10344827586206896,0.45555555555555555,0.36666666666666664,0.8314606741573034,0.11904761904761904,0.3707865168539326,0.4222222222222222,0.6292134831460674,0.42696629213483145,0.7752808988764045,0.5333333333333333,0.14444444444444443,0.6853932584269663,0.3146067415730337,0.7613636363636364,0.8888888888888888,0.9550561797752809,0.058823529411764705,0.4777777777777778,0.7674418604651163,0.4444444444444444,0.6333333333333333,1
Blebbistatin & Mitomycin C,0.5666666666666667,0.23863636363636365,0.42696629213483145,0.29213483146067415,0.5333333333333333,0.13636363636363635,0.10344827586206896,0.43333333333333335,0.6222222222222222,0.8045977011494253,0.8444444444444444,0.4666666666666667,0.5056179775280899,0.30952380952380953,0.8539325842696629,0.6777777777777778,0.797752808988764,0.38202247191011235,0.39325842696629215,0.4888888888888889,0.9444444444444444,0.9662921348314607,0.23595505617977527,0.45454545454545453,0.9,0.449438202247191,0.3176470588235294,0.6,0.7209302325581395,0.7444444444444445,0.5666666666666667,0
